"Seg.Nr."	"Timecode"	"Hauptüberschrift"	"Zwischenüberschrift"
392	"00:00:12.14"		
393	"00:00:27.11"		
394	"00:00:36.23"		
395	"00:00:40.03"		
396	"00:00:44.19"		
397	"00:00:47.00"		"Mitarbeit im Vereinsbund der Kämpfer des Volksbefreiungskrieges Jugoslawiens (SUBNOR)"
398	"00:00:54.18"		
399	"00:01:09.05"		
400	"00:01:14.01"		
401	"00:01:21.04"		
402	"00:01:37.13"		
403	"00:01:42.21"		
404	"00:02:10.12"		
405	"00:02:41.22"		
406	"00:03:17.09"		
407	"00:03:31.13"		
408	"00:03:41.08"		
409	"00:03:46.16"		
410	"00:03:53.05"		
411	"00:04:03.11"		
412	"00:04:17.07"		
413	"00:04:25.23"		
414	"00:05:08.05"		
415	"00:05:13.09"		
416	"00:05:33.12"		
417	"00:05:37.00"		
418	"00:05:39.11"		
419	"00:05:42.20"		
420	"00:05:58.19"		
421	"00:06:08.11"		
422	"00:06:18.15"		"Reger internationaler Kontakt mit Veteranen "
423	"00:06:26.18"		
424	"00:06:39.14"		
425	"00:06:43.06"		
426	"00:06:53.12"		
427	"00:07:05.17"		
428	"00:07:24.08"		
429	"00:07:35.09"		
430	"00:07:56.14"		
431	"00:07:58.20"		
432	"00:08:22.02"		"Kritik am ""Imperialismus der Großmächte"""
433	"00:08:37.05"		
434	"00:08:47.18"		
435	"00:08:54.21"		
436	"00:09:01.21"		
437	"00:09:08.04"		
438	"00:09:15.12"		
439	"00:09:18.16"		
440	"00:09:19.21"		
441	"00:09:29.15"		
442	"00:09:33.13"		
443	"00:09:41.07"		
444	"00:09:51.21"		
445	"00:10:01.01"		
446	"00:10:05.00"		
447	"00:10:08.09"		
448	"00:10:13.22"		
449	"00:10:24.22"		
450	"00:10:26.22"		
451	"00:10:33.08"		"Antifaschismus und Sozialismus als Fundament der Gesellschaft"
452	"00:11:02.00"		
453	"00:11:06.21"		
454	"00:11:18.07"		
455	"00:11:35.23"		
456	"00:11:39.15"		
457	"00:11:47.02"		
458	"00:11:53.15"		
459	"00:11:57.11"		
460	"00:12:04.22"		
461	"00:12:11.05"		
462	"00:12:19.14"		
463	"00:12:30.04"		
464	"00:12:44.19"		
465	"00:12:59.03"		
466	"00:13:11.12"		
467	"00:13:17.20"		
468	"00:13:21.06"		
469	"00:13:38.19"		
470	"00:14:04.18"		
471	"00:14:18.17"		
472	"00:14:25.05"	"Die deutsche Besatzung 1941-1945 (III)"	"Kein Kollaborationsverdacht nach der Haftentlassung"
473	"00:14:47.21"		
474	"00:14:50.20"		
475	"00:14:52.19"		
476	"00:15:04.11"		
477	"00:15:10.04"		
478	"00:15:12.05"		
479	"00:15:24.21"		
480	"00:15:58.14"		"Beteiligung der Familie Fumić an der Volksbefreiungsbewegung von Beginn an"
481	"00:16:11.04"		
482	"00:16:39.22"		"Tod des Vaters im KZ-Außenlager Stara Gradiška im Jahr 1943"
483	"00:17:11.15"	"Verhaftung und Internierung (III)"	"Verlegung aus dem KZ Banjica in das Gefängnis von Zemun und weitere städtische Gefängnisse"
484	"00:17:20.11"		
485	"00:17:28.03"		
486	"00:17:38.17"		
487	"00:17:47.16"		
488	"00:17:49.13"		
489	"00:17:52.02"		
490	"00:17:55.01"		
491	"00:17:55.15"		
492	"00:18:05.22"		
493	"00:18:09.09"		
494	"00:18:13.17"		
495	"00:18:18.16"		
496	"00:18:22.16"		
497	"00:18:46.07"		
498	"00:18:52.15"		
499	"00:18:53.07"		
500	"00:18:56.20"		
501	"00:19:03.09"		
502	"00:19:11.06"		"Mangelhafte Verpflegung in Gefängnissen und im KZ"
503	"00:19:16.14"		
504	"00:19:19.13"		
505	"00:19:21.21"		
506	"00:19:22.23"		
507	"00:19:26.00"		
508	"00:19:29.24"		
509	"00:19:35.01"		"Qualen der Mithäftlinge"
510	"00:19:39.22"		
511	"00:19:43.08"		
512	"00:19:49.03"		
513	"00:19:54.18"		
514	"00:20:03.24"		
515	"00:20:16.00"		
516	"00:20:29.18"		
517	"00:20:38.03"		
518	"00:20:43.03"		
519	"00:20:50.03"		"Soziale und nationale Zusammensetzung der Mithäftlinge"
520	"00:20:53.03"		
521	"00:21:24.11"		
522	"00:21:27.16"		
523	"00:21:28.01"		
524	"00:21:29.07"		
525	"00:21:35.14"		
526	"00:21:48.08"		
527	"00:21:59.08"		
528	"00:22:01.13"		
529	"00:22:11.13"		
530	"00:22:28.12"		
531	"00:22:31.07"		
532	"00:22:34.17"		"Politische Diskussionen fanden in den KZs nicht statt (II)"
533	"00:22:49.09"		
534	"00:22:53.24"		
535	"00:22:57.11"		
536	"00:23:05.23"		
537	"00:23:09.22"		
538	"00:23:11.10"		
539	"00:23:13.10"		
540	"00:23:36.04"		
541	"00:23:41.19"	"Jugoslawien in der Nachkriegszeit (III)"	
542	"00:23:45.24"		
543	"00:23:51.06"		"Arbeitseinsätze während der Schulzeit für den Wiederaufbau Jugoslawiens"
544	"00:24:00.04"		
545	"00:24:04.20"		
546	"00:24:11.15"		
547	"00:24:44.18"		
548	"00:24:51.22"		
549	"00:24:56.01"		
550	"00:25:00.22"		
551	"00:25:06.22"		
552	"00:25:12.01"		"Schulzeit und Studium in Slavonska Požega und Zagreb"
553	"00:25:18.00"		
554	"00:25:21.17"		
555	"00:25:25.17"		
556	"00:25:30.05"		
557	"00:25:38.00"		"Berufsweg und Ruhestand"
558	"00:26:04.20"		
559	"00:26:16.03"		
560	"00:26:25.15"		
561	"00:26:33.03"		"Entschädigung für die Haftzeit"
562	"00:26:36.11"		
563	"00:26:39.10"		
564	"00:26:52.10"		
565	"00:26:55.22"		
566	"00:26:59.04"		
567	"00:27:04.22"		
568	"00:27:21.01"		
569	"00:27:43.14"		
570	"00:27:46.20"		
571	"00:27:51.10"		"Ungerechte Entschädigungspolitik im Nachkriegsjugoslawien"
572	"00:28:01.19"		
573	"00:28:05.10"		
574	"00:28:09.10"		
575	"00:28:14.19"		
576	"00:28:20.03"		
577	"00:28:25.03"		
578	"00:28:39.01"		
579	"00:28:45.18"		
580	"00:28:50.01"		
581	"00:29:03.03"		
582	"00:29:11.00"		
583	"00:29:20.23"		
584	"00:29:26.01"		
585	"00:29:36.06"		
586	"00:29:37.12"		
587	"00:29:44.21"		
588	"00:29:48.17"		"Vergünstigungen für Veteranen"
589	"00:30:01.07"		
590	"00:30:11.00"		
591	"00:30:23.23"		
592	"00:30:36.15"		
593	"00:30:56.09"		
594	"00:31:02.18"		
595	"00:31:11.19"		
596	"00:31:22.04"		
597	"00:31:36.13"		
598	"00:31:39.03"		
599	"00:31:46.03"		
600	"00:31:52.03"		
601	"00:32:09.02"		
602	"00:32:15.18"		
603	"00:32:21.02"		
