"Seg.Nr."	"Timecode"	"Hauptüberschrift"	"Zwischenüberschrift"
1	"00:00:34.23"	"Einleitung"	
2	"00:01:23.21"	"Kindheit im slawonischen Milanuk (Jugoslawien)"	"Aufgewachsen in einer Bauernfamilie mit zahlreichen Angehörigen"
3	"00:01:40.21"		
4	"00:01:46.00"		
5	"00:02:07.10"	"Die deutsche Besatzung 1941-1945 (I)"	"Familie Fumić in der Widerstandsbewegung"
6	"00:02:42.21"		
7	"00:03:07.04"		
8	"00:03:11.07"		"Als Kind Kurier für die Nationale Befreiungsarmee (NOV)"
9	"00:03:29.17"		
10	"00:03:42.02"	"Verhaftung und Internierung (I)"	"Verhaftung durch deutsche Einheit am 28. Dezember 1942 im kroatischen Gazije"
11	"00:04:28.03"		
12	"00:04:40.13"		"Deportation nach Zemun und Internierung im KZ Sajmište"
13	"00:05:03.11"		
14	"00:05:12.04"		
15	"00:05:28.12"		
16	"00:05:32.02"		
17	"00:06:01.19"		"Verlegung in das KZ Banjica und Internierung für drei Monate"
18	"00:06:19.20"		
19	"00:06:27.20"		
20	"00:06:33.11"		
21	"00:06:45.09"		"Verhöre und Selektion der Insassen zur Zwangsarbeit oder Erschießung"
22	"00:07:17.08"		
23	"00:07:21.18"		
24	"00:07:44.02"		
25	"00:07:56.04"		
26	"00:08:06.02"		"Erkrankung an Typhus"
27	"00:08:36.09"		"Misshandlungen von Mithäftlingen"
28	"00:09:12.11"		
29	"00:09:15.23"		"Mangelhafte Verpflegung im KZ Banjica"
30	"00:09:33.03"		"Mithäftlinge unterschiedlicher Herkunft und politischer Orientierung (I)"
31	"00:10:02.05"		
32	"00:10:14.05"		
33	"00:10:27.13"		"Misshandlung Fumićs bei Verhaftung"
34	"00:10:41.00"		
35	"00:10:49.20"		
36	"00:10:58.20"		
37	"00:11:05.09"		
38	"00:11:11.06"		
39	"00:11:27.18"		
40	"00:11:31.15"		
41	"00:11:35.08"		
42	"00:11:51.23"		
43	"00:12:13.07"		"Verlegung in das städtische Gefängnis Zemun und danach in weitere Gefängnisse"
44	"00:12:39.01"		
45	"00:12:46.13"		
46	"00:13:05.15"		
47	"00:13:14.04"		
48	"00:13:24.04"		"Entlassung aus dem Gefängnis und Rückkehr zu den Partisanen im April 1943"
49	"00:13:58.19"		
50	"00:14:04.02"		
51	"00:14:16.02"		
52	"00:14:30.07"		
53	"00:14:33.06"		
54	"00:14:45.16"		
55	"00:14:51.16"		
56	"00:14:57.24"		
57	"00:15:13.10"		"Exkurs zum KZ Sajmište und zum KZ Banjica"
58	"00:15:18.05"		
59	"00:15:20.01"		
60	"00:15:20.20"		
61	"00:15:33.07"		
62	"00:15:45.09"		
63	"00:15:58.14"		
64	"00:16:16.03"		
65	"00:16:23.17"		
66	"00:16:29.09"		
67	"00:16:30.06"		
68	"00:16:39.09"		
69	"00:16:41.21"		
70	"00:17:03.11"		
71	"00:17:10.04"		
72	"00:17:20.15"		
73	"00:17:39.03"		
74	"00:17:44.09"		
75	"00:17:47.11"		
76	"00:17:55.14"		
77	"00:18:04.00"		
78	"00:18:08.08"		
79	"00:18:11.08"		
80	"00:18:29.07"		
81	"00:18:46.16"		
82	"00:18:49.19"		
83	"00:18:52.07"		
84	"00:18:53.17"		
85	"00:18:58.07"		
86	"00:19:14.01"		
87	"00:19:18.19"		
88	"00:19:21.22"		
89	"00:19:31.22"		
90	"00:19:36.05"		
91	"00:19:39.13"		
92	"00:19:45.12"		
93	"00:19:47.10"		
94	"00:19:50.13"		
95	"00:19:51.21"		
96	"00:20:00.20"		
97	"00:20:13.10"		
98	"00:20:20.22"		
99	"00:20:25.03"	"Haftentlassung 1943 und Rückkehr zu den Partisanen"	
100	"00:20:32.09"		
101	"00:20:49.22"		"Verschiedene Einsätze bei den Partisanen"
102	"00:21:12.01"		
103	"00:21:29.01"		
104	"00:21:42.10"		
105	"00:21:53.11"		
106	"00:22:09.22"		
107	"00:22:21.14"		
108	"00:22:34.02"		
109	"00:22:40.03"	"Jugoslawien in der Nachkriegszeit (I)"	"Schulische Ausbildung in Slavonska Požega und Jura-Studium in Zagreb"
110	"00:22:52.22"		
111	"00:22:55.02"		
112	"00:23:03.17"		
113	"00:23:10.07"		"Karriere als (Militär-) Richter und Justizminister von 1986 bis 1990"
114	"00:23:27.16"		
115	"00:23:38.21"		
116	"00:23:47.04"		
117	"00:23:48.20"		
118	"00:24:03.20"		
119	"00:24:22.05"		
120	"00:24:33.19"		
121	"00:24:37.23"		
