"Seg.Nr."	"Timecode"	"Hauptüberschrift"	"Zwischenüberschrift"
188	"00:00:11.07"		
189	"00:00:16.12"		"Von den Nachbarn im Heimatdorf ausspioniert"
190	"00:00:29.21"		
191	"00:00:30.24"		
192	"00:00:37.02"		
193	"00:00:41.14"		
194	"00:00:58.09"		"Flucht aus Milanuk im Sommer 1942"
195	"00:01:36.18"		
196	"00:01:53.08"		
197	"00:02:04.08"		
198	"00:02:26.11"		"Kämpfe mit Ustascha-Verbänden"
199	"00:02:42.01"		
200	"00:02:57.10"		
201	"00:03:10.03"		
202	"00:03:34.04"		
203	"00:03:58.08"		
204	"00:04:15.15"		
205	"00:04:19.03"		"Sozialistisch demokratische Einstellung der Familie"
206	"00:04:25.20"		
207	"00:04:30.02"		
208	"00:04:34.11"		
209	"00:04:38.14"		
210	"00:04:49.14"		
211	"00:05:00.21"		"Kriegsverluste in der Familie"
212	"00:05:19.00"	"Verhaftung und Internierung (II)"	
213	"00:05:31.12"		"Leben in Ungewissheit - Drohungen und Schikanen durch Tschetniks oder Domobranen"
214	"00:05:34.20"		
215	"00:05:37.18"		
216	"00:05:43.00"		
217	"00:05:44.20"		
218	"00:05:46.19"		
219	"00:05:55.03"		
220	"00:06:21.18"		
221	"00:06:29.10"		
222	"00:06:39.09"		
223	"00:06:47.22"		
224	"00:06:53.07"		
225	"00:07:30.21"		
226	"00:07:33.20"		
227	"00:07:37.08"		
228	"00:07:39.15"		
229	"00:07:49.07"		
230	"00:07:52.15"		
231	"00:07:58.07"		
232	"00:08:02.11"		
233	"00:08:10.16"		"Alltag im KZ Banjica"
234	"00:08:16.06"		
235	"00:08:20.07"		
236	"00:08:24.06"		
237	"00:08:39.03"		
238	"00:08:42.05"		
239	"00:08:46.13"		
240	"00:09:21.22"		
241	"00:09:24.03"		
242	"00:09:29.03"		
243	"00:09:31.11"		
244	"00:09:59.16"		
245	"00:10:04.22"		
246	"00:10:09.04"		
247	"00:10:50.14"		"Unmenschliche Lebens- und Haftbedingungen"
248	"00:11:14.03"		
249	"00:11:18.24"		
250	"00:11:28.12"		
251	"00:11:30.20"		
252	"00:11:33.02"		
253	"00:11:42.02"		
254	"00:12:02.04"		
255	"00:12:06.22"		
256	"00:12:18.05"		
257	"00:12:23.00"		
258	"00:12:35.21"		
259	"00:12:38.00"		
260	"00:12:54.20"		"Mangelhafte medizinische Versorgung"
261	"00:13:22.21"		
262	"00:13:29.23"		
